LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,share_price_value,Flag Codes
DEU,SHPRICE,TOT,IDX2015,M,2020-01,112.0107,
DEU,SHPRICE,TOT,IDX2015,M,2020-02,111.1702,
DEU,SHPRICE,TOT,IDX2015,M,2020-03,83.88902,
DEU,SHPRICE,TOT,IDX2015,M,2020-04,87.06613,
ITA,SHPRICE,TOT,IDX2015,M,2020-01,114.6452,
ITA,SHPRICE,TOT,IDX2015,M,2020-02,115.8871,
ITA,SHPRICE,TOT,IDX2015,M,2020-03,85.258,
ITA,SHPRICE,TOT,IDX2015,M,2020-04,84.49229,
ESP,SHPRICE,TOT,IDX2015,M,2020-01,88.07616,
ESP,SHPRICE,TOT,IDX2015,M,2020-02,89.07196,
ESP,SHPRICE,TOT,IDX2015,M,2020-03,66.04161,
ESP,SHPRICE,TOT,IDX2015,M,2020-04,62.47948,
GBR,SHPRICE,TOT,IDX2015,M,2020-01,114.5953,
GBR,SHPRICE,TOT,IDX2015,M,2020-02,110.8974,
GBR,SHPRICE,TOT,IDX2015,M,2020-03,87.06705,
GBR,SHPRICE,TOT,IDX2015,M,2020-04,87.18063,
USA,SHPRICE,TOT,IDX2015,M,2020-01,130.9052,
USA,SHPRICE,TOT,IDX2015,M,2020-02,128.6936,
USA,SHPRICE,TOT,IDX2015,M,2020-03,100.458,
USA,SHPRICE,TOT,IDX2015,M,2020-04,101.9088,
